0.001842, 0.073682, 50
0.009594, 0.155047, 50
0.025104, 0.310196, 50
0.048382, 0.465548, 50
0.079442, 0.621210, 50
0.118307, 0.777292, 50
0.165002, 0.933908, 50
0.219561, 1.091183, 50
0.282024, 1.249249, 50
0.352436, 1.408254, 50
0.430854, 1.568358, 50
0.517341, 1.729743, 50
0.611972, 1.892613, 50
0.714832, 2.057200, 50
0.826021, 2.223774, 50
0.945653, 2.392645, 50
1.073862, 2.564177, 50
1.210802, 2.738793, 50
1.356651, 2.916997, 50
1.511620, 3.099379, 50
1.675952, 3.286637, 50
1.849932, 3.479593, 50
2.033892, 3.679212, 50
2.228223, 3.886606, 50
2.433374, 4.103036, 50
2.649869, 4.329882, 50
2.878296, 4.568554, 50
3.119312, 4.820322, 50
3.373612, 5.085997, 50
3.641882, 5.365395, 50
3.924710, 5.656553, 50
4.220025, 5.906301, 50
4.521387, 6.027248, 50
4.821521, 6.002677, 50
5.115286, 5.875306, 50
5.399918, 5.692642, 50
5.673988, 5.481398, 50
5.936418, 5.248592, 50
6.186527, 5.002188, 50
6.424006, 4.749574, 50
6.648839, 4.496656, 50
6.861217, 4.247570, 50
7.061460, 4.004847, 50
7.249947, 3.769751, 50
7.427080, 3.542666, 50
7.593251, 3.323411, 50
7.748825, 3.111486, 50
7.894137, 2.906230, 50
8.029483, 2.706932, 50
8.155128, 2.512888, 50
8.271300, 2.323437, 50
8.378198, 2.137974, 50
8.475996, 1.955958, 50
8.564842, 1.776906, 50
8.644861, 1.600393, 50
8.716163, 1.426044, 50
8.778840, 1.253528, 50
8.832967, 1.082548, 50
8.878609, 0.912842, 50
8.915818, 0.744173, 50
8.944634, 0.576324, 50
8.965089, 0.409095, 50
8.977204, 0.242297, 50
8.982125, 0.098428, 50
8.983072, 0.018935, 50
8.983072, 0.000000, 50
