0.001849, 0.073972, 50
0.008042, 0.123861, 50
0.020435, 0.247848, 50
0.039039, 0.372088, 50
0.063875, 0.496712, 50
0.094968, 0.621856, 50
0.132351, 0.747664, 50
0.176065, 0.874286, 50
0.226159, 1.001881, 50
0.282690, 1.130617, 50
0.345724, 1.260672, 50
0.415335, 1.392228, 50
0.491609, 1.525477, 50
0.574640, 1.660614, 50
0.664531, 1.797837, 50
0.761399, 1.937344, 50
0.865365, 2.079329, 50
0.976564, 2.223982, 50
1.095138, 2.371484, 50
1.221239, 2.522007, 50
1.355024, 2.675710, 50
1.496661, 2.832741, 50
1.646323, 2.993238, 50
1.804190, 3.157328, 50
1.970446, 3.325132, 50
2.145285, 3.496768, 50
2.328902, 3.672357, 50
2.521504, 3.852027, 50
2.723300, 4.035918, 50
2.934509, 4.224190, 50
3.155360, 4.417024, 50
3.386092, 4.614624, 50
3.626953, 4.817220, 50
3.878206, 5.025059, 50
4.140125, 5.238391, 50
4.412998, 5.457450, 50
4.697119, 5.682418, 50
4.992787, 5.913373, 50
5.300298, 6.150213, 50
5.619926, 6.392566, 50
5.951910, 6.639669, 50
6.296421, 6.890235, 50
6.653538, 7.142329, 50
7.016058, 7.250405, 50
7.380496, 7.288759, 50
7.751161, 7.413294, 50
8.123518, 7.447138, 50
8.495474, 7.439131, 50
8.867063, 7.431780, 50
9.239209, 7.442919, 50
9.612805, 7.471913, 50
9.988573, 7.515374, 50
10.366857, 7.565668, 50
10.747338, 7.609625, 50
11.128762, 7.628478, 50
11.508780, 7.600359, 50
11.884072, 7.505846, 50
12.250810, 7.334761, 50
12.605328, 7.090362, 50
12.944730, 6.788037, 50
13.267200, 6.449402, 50
13.571982, 6.095631, 50
13.859141, 5.743187, 50
14.129273, 5.402624, 50
14.383242, 5.079392, 50
14.622009, 4.775340, 50
14.846516, 4.490139, 50
15.057632, 4.222326, 50
15.256131, 3.969973, 50
15.442684, 3.731064, 50
15.617869, 3.503698, 50
15.782177, 3.286166, 50
15.936027, 3.076982, 50
16.079770, 2.874875, 50
16.213708, 2.678762, 50
16.338095, 2.487734, 50
16.453146, 2.301021, 50
16.559045, 2.117972, 50
16.655947, 1.938037, 50
16.743984, 1.760748, 50
16.823269, 1.585704, 50
16.893897, 1.412559, 50
16.955948, 1.241015, 50
17.009488, 1.070808, 50
17.054573, 0.901705, 50
17.091248, 0.733498, 50
17.119548, 0.565997, 50
17.139500, 0.399029, 50
17.151121, 0.232428, 50
17.155676, 0.091109, 50
17.156502, 0.016508, 50
17.156502, 0.000000, 50
