{0.001726,  0.069021,  50},
{0.006574,  0.096960,  50},
{0.017481,  0.218159,  50},
{0.036874,  0.387853,  50},
{0.067180,  0.606120,  50},
{0.109628,  0.848966,  50},
{0.164262,  1.092676,  50},
{0.231170,  1.338162,  50},
{0.310511,  1.586821,  50},
{0.402542,  1.840603,  50},
{0.507643,  2.102020,  50},
{0.626346,  2.374072,  50},
{0.759349,  2.660066,  50},
{0.907516,  2.963321,  50},
{1.071856,  3.286809,  50},
{1.253495,  3.632791,  50},
{1.453623,  4.002558,  50},
{1.673441,  4.396349,  50},
{1.914116,  4.813497,  50},
{2.176754,  5.252769,  50},
{2.462396,  5.712828,  50},
{2.772033,  6.192739,  50},
{3.105000,  6.659347,  50},
{3.458812,  7.076234,  50},
{3.830744,  7.438639,  50},
{4.217882,  7.742779,  50},
{4.615965,  7.961657,  50},
{5.020405,  8.088793,  50},
{5.427448,  8.140851,  50},
{5.832939,  8.109832,  50},
{6.232201,  7.985240,  50},
{6.621279,  7.781563,  50},
{6.997852,  7.531446,  50},
{7.360120,  7.245366,  50},
{7.706199,  6.921591,  50},
{8.034261,  6.561232,  50},
{8.342673,  6.168243,  50},
{8.630108,  5.748696,  50},
{8.895591,  5.309652,  50},
{9.138492,  4.858033,  50},
{9.358483,  4.399812,  50},
{9.555463,  3.939610,  50},
{9.729496,  3.480644,  50},
{9.880740,  3.024886,  50},
{10.009406,  2.573321,  50},
{10.115716,  2.126198,  50},
{10.199879,  1.683261,  50},
{10.262075,  1.243921,  50},
{10.303834,  0.835187,  50},
{10.328804,  0.499406,  50},
{10.341365,  0.251208,  50},
{10.345866,  0.090014,  50},
{10.346644,  0.015559,  50},
{10.346644,  0.000000,  50}
